Iterations,Average Moves L,Average Moves O,Average Moves R,R Moves w/ Full Restart
3160,222.4,252.5,230,340
3165,304.1,272.5,212.5,305
3170,354,280,432.5,307.5
3175,262.7,280,252.5,445
3180,291.5,270,312.5,555
3185,262.6,260,187.5,410
3190,305.3,242.5,222.5,300
3195,372.7,240,212.5,212.5
3200,571.4,202.5,395,145
3205,222.6,320,297.5,285
3210,334.2,290,310,470
3215,255.4,350,240,302.5
3220,175.4,360,175,242.5
3225,272.6,400,470,302.5
3230,372.7,250,345,292.5
3235,262.6,200,255,320
3240,402.7,330,242.5,280
3245,433.8,250,270,287.5
3250,223.9,130,275,500
3255,332.7,202.5,225,542.5
3260,513.8,170,147.5,340
3265,491.2,300,252.5,307.5
3270,362.6,200,502.5,252.5
3275,224,200,257.5,412.5
3280,511.2,210,235,355
3285,174,282.5,297.5,305
3290,252.5,322.5,237.5,192.5
3295,362.5,320,295,292.5
3300,292.5,212.5,140,345
3305,471.2,260,155,320
3310,311.3,250,237.5,280
3315,462.6,290,135,320
3320,395.4,230,237.5,355
3325,331.2,210,147.5,357.5
3330,204,310,357.5,350
3335,451.3,320,285,360
3340,494,320,322.5,342.5
3345,271.3,350,172.5,287.5
3350,414,270,325,465
3355,430,182.7,262.5,360
3360,302.7,370,385,290
3365,531.4,220,302.5,430
3370,291.2,210,370,287.5
3375,272.6,280,375,460
3380,291.2,260,387.5,220
3385,260,150,155,397.5
3390,420,360,372.5,350
3395,372.4,270,242.5,570
3400,411.2,250,322.5,310
3405,312.7,260,157.5,275
3410,325.1,210,252.5,370
3415,392.7,222.7,240,352.5
3420,531.4,260,297.5,475
3425,375.2,290,152.5,475
3430,283.7,220,240,410
3435,164.2,200,365,430
3440,315.5,290,317.5,277.5
3445,244,160,152.5,157.5
3450,252.9,340,285,210
3455,202.7,270,315,510
3460,302.5,270,350,410
3465,342.5,310,222.5,372.5
3470,271.2,250,215,427.5
3475,333.9,200,185,195
3480,300,320,232.5,190
3485,282.7,240,392.5,332.5
3490,292.5,180,390,235
3495,452.7,240,195,262.5
3500,343.9,220,190,540
3505,302.5,320,302.5,622.5
3510,332.5,220,325,262.5
3515,335.2,300,380,402.5
3520,351.3,180,215,402.5
3525,381.2,290,217.5,460
3530,304.1,270,355,480
3535,542.7,290,235,320
3540,450,360,272.5,357.5
3545,221.2,220,265,257.5
3550,323.8,200,322.5,410
3555,342.6,350,285,242.5
3560,381.2,210,187.5,262.5
3565,392.5,210,122.5,372.5
3570,302.5,270,205,285
3575,245.1,330,245,400
3580,322.7,220,372.5,330
3585,331.2,270,335,157.5
3590,332.6,220,192.5,300
3595,402.4,270,305,400
3600,355.3,230,362.5,370
3605,243.9,260,265,192.5
3610,372.4,250,345,380
3615,392.5,290,160,432.5
3620,252.5,290,252.5,365
3625,453.9,190,285,230
3630,325.4,260,222.5,270
3635,372.5,240,272.5,380
3640,333.9,250,175,410
3645,325.7,262.5,202.5,360
3650,185.6,180,205,280
3655,314.2,230,335,342.5
3660,242.8,280,130,282.5
3665,261.2,250,295,505
3670,402.6,152.5,162.5,430
3675,48.2,190,97.5,325
3680,472.5,272.5,232.5,460
3685,306.7,190,147.5,452.5
3690,423.9,212.5,195,342.5
3695,355,242.5,107.5,270
3700,295.4,220,392.5,362.5
3705,341.6,320,422.5,212.5
3710,332.5,242.5,187.5,360
3715,175.6,290,345,402.5
3720,452.7,220,125,280
3725,432.5,232.5,180,342.5
3730,256.9,142.5,215,312.5
3735,411.3,320,235,592.5
3740,451.6,230,250,320
3745,271.3,310,165,202.5
3750,253.8,280,342.5,310
3755,294.2,250,110,302.5
3760,491.6,180,285,205
3765,431.6,200,262.5,305
3770,386.9,152.5,322.5,262.5
3775,322.5,190,227.5,442.5
3780,405.5,152.5,290,297.5
3785,293.7,300,112.5,337.5
3790,422.5,240,220,430
3795,153.8,272.5,312.5,242.5
3800,333.9,190,260,360
3805,522.6,280,185,455
3810,353.9,280,132.5,250
3815,334.1,280,382.5,195
3820,186.6,360,210,320
3825,348,310,225,530
3830,382.6,172.5,255,505
3835,581.4,250,262.5,355
3840,345.3,250,205,375
3845,235.2,220,115,450
3850,285.2,252.5,340,242.5
3855,315.2,370,412.5,207.5
3860,315.5,252.5,240,300
3865,472.6,202.5,262.5,212.5
3870,431.2,230,212.5,377.5
3875,462.7,260,305,252.5
3880,332.7,132.5,262.5,300
3885,323.9,240,220,392.5
3890,315.5,190,382.5,220
3895,392.5,230,135,230
3900,286.8,142.5,262.5,402.5
3905,275.2,180,187.5,372.5
3910,321.3,340,157.5,402.5
3915,581.4,232.5,132.5,280
3920,353.8,160,220,392.5
3925,534,140,245,355
3930,491.3,222.5,240,375
3935,303.8,220,282.5,222.5
3940,391.2,310,287.5,257.5
3945,611.4,220,390,480
3950,334.2,310,220,220
3955,226.5,210,142.5,352.5
3960,312.6,172.5,130,440
3965,445.3,322.5,105,427.5
3970,284.2,122.5,390,405
3975,364,202.5,107.5,352.5
3980,441.1,382.5,132.5,330
3985,305.2,230,172.5,242.5
3990,305.3,170,292.5,480
3995,452.7,232.5,362.5,257.5
4000,514,210,290,252.5
4005,216.6,160,242.5,197.5
4010,295.4,202.5,335,312.5
4015,354,190,390,240
4020,333.9,200,245,292.5
4025,265,250,242.5,500
4030,237.7,200,260,412.5
4035,325.1,270,175,445
4040,405.2,250,400,322.5
4045,67.7,290,207.5,187.5
4050,216.3,180,292.5,330
4055,216.8,200,195,342.5
4060,355.2,180,155,275
4065,195.4,150,150,345
4070,284.9,310,205,322.5
4075,158,240,302.5,290
4080,266.2,300,145,300
4085,257.9,220,112.5,400
4090,286.4,250,190,275
4095,167.3,320,392.5,530
4100,275.3,240,302.5,485
4105,432.6,210,152.5,282.5
4110,326.8,190,380,360
4115,293.5,220,290,465
4120,395.2,260,257.5,382.5
4125,246.3,270,480,395
4130,343.8,250,382.5,520
4135,395,290,220,255
4140,148.8,280,355,287.5
4145,94.8,270,272.5,350
4150,284.8,190,227.5,312.5
4155,325.1,170,358,482.5
4160,225.1,160,350,362.5
4165,324.9,190,280,387.5
4170,278,290,280,255
4175,276.2,250,302.5,302.5
4180,225.1,270,420,302.5
4185,316.3,180,372.5,312.5
4190,167.4,370,152.5,375
4195,97.4,310,215,362.5
4200,343.7,240,272.5,300
4205,216.1,390,145,390
4210,292.4,130,220.5,312.5
4215,259.1,310,157.5,302.5
4220,246.3,340,267.5,342.5
4225,314.2,280,432.5,335
4230,335,270,302.5,335
4235,284.7,280,275.5,365
4240,159.3,290,245,300
4245,39,150,260,242.5
4250,377.4,260,382.5,702.5
4255,215.1,230,190,265
4260,258.9,280,270,425
4265,227.5,180,410,280
4270,117.9,270,252.5,412.5
4275,196,240,285,420
4280,293.5,220,232.5,272.5
4285,156.5,290,395,640
4290,316.5,230,123,290
4295,156.3,220,275,420
4300,194.8,270,212.5,480
4305,233.8,360,293,157.5
4310,177.6,240,302.5,502.5
4315,284.9,210,372.5,477.5
4320,237.7,230,400,187.5
4325,324.9,250,193,290
4330,256.6,290,290,287.5
4335,264.9,240,352.5,352.5
4340,214.9,210,352.5,255
4345,343.7,290,312.5,260
4350,254.9,350,392.5,290
4355,194.8,300,180,462.5
4360,194.8,200,330,475
4365,297.6,230,302.5,167.5
4370,364.9,200,275,262.5
4375,194.9,310,240,222.5
4380,276,270,332.5,512.5
4385,406.5,270,215.5,185
4390,405.1,220,375,497.5
4395,256.2,230,192.5,335
4400,258.7,200,210,422.5
4405,277.5,250,105,442.5
4410,276.4,360,287.5,237.5
4415,314.9,232.7,262.5,230
4420,256.1,280,135,427.5
4425,297.9,270,242.5,197.5
4430,276.1,240,380,482.5
4435,306.2,250,225.5,442.5
4440,277.7,250,283,420
4445,276.6,330,253,312.5
4450,294.9,222.7,252.5,610
4455,238.8,290,262.5,580
4460,254.8,240,295,320
4465,267.8,260,270,190
4470,274.8,190,200,535
4475,315,240,232.5,292.5
4480,296.5,200,232.5,195
4485,324.9,262.7,300,360
4490,246.4,200,228,355
4495,187.3,192.7,300,400
4500,375,170,270,230
4505,147.7,290,225,430
4510,168,252.7,278,360
4515,267.7,242.7,250,430
4520,248.7,340,302.5,245
4525,285.1,260,157.5,280
4530,257.6,222.7,502.5,290
4535,278,260,110,220
4540,276.3,280,305,235
4545,314.7,230,390,425
4550,237.8,200,235,252.5
4555,237.7,230,352.5,362.5
4560,366.1,332.7,190,262.5
4565,376.8,202.7,275.5,530
4570,186.4,310,352.5,540
4575,286.1,250,285,400
4580,259.1,280,282.5,320
4585,147.1,230,272.5,252.5
4590,284.9,250,420,502.5
4595,306.3,300,292.5,282.5
4600,246.7,220,472.5,300
4605,325,172.7,292.5,280
4610,267.8,310,140,360
4615,326.3,240,270,242.5
4620,225.2,200,193,260
4625,276.1,212.7,352.5,230
4630,295.1,350,312.5,330
4635,267.7,310,160,307.5
4640,276.3,280,272.5,292.5
4645,229.2,320,257.5,355
4650,216.6,180,472.5,252.5
4655,186.8,200,265,222.5
4660,266.2,160,205,610
4665,196.6,220,265,262.5
4670,267.7,222.7,315,177.5
4675,333.7,270,137.5,212.5
4680,236.8,232.7,248,322.5
4685,307.9,240,335,470
4690,244.9,260,245,270
4695,177.7,242.7,310,182.5
4700,214.8,170,178,292.5
4705,296.4,220,292.5,427.5
4710,187.4,250,220,312.5
4715,306.3,220,340,500
4720,285,182.7,215,402.5
4725,238,270,173,270
4730,256.3,240,232.5,102.5
4735,256,230,260,255
4740,177.5,1482.5,177.5,410
4745,284.8,140,232.5,222.5
4750,176.5,230,265,247.5
4755,266.2,252.5,235,457.5
4760,228.9,260,242.5,252.5
4765,266.9,370,287.5,372.5
4770,186.3,292.7,117.5,315
4775,167.4,292.7,222.5,240
4780,237.5,1660,352.5,660
4785,276.4,190,342.5,412.5
4790,297.6,152.7,292.5,250
4795,276.4,380,350,267.5
4800,147.7,285.2,365,197.5
4805,257.3,102.7,198,290
4810,258.8,162.5,240,300
4815,237.8,290,245,362.5
4820,147.4,420,205,190
4825,246.3,340,358,342.5
4830,296.6,240,340,305
4835,296.3,1492.7,460,315
4840,197.6,200,295,225
4845,267.6,1630,215,290
